lesson_id,question_id,type,difficulty,skill_tag,question,choices,correct_answer,explanation
SA-G9-ENG-U3-L1,SA-G9-ENG-U3-L1-Q08,mc,medium,ARGUMENT.COUNTERCLAIM,What should a counterclaim do?,"[""Ignore the other side"", ""Present an opposing idea fairly"", ""Replace all evidence"", ""End the essay immediately""]",Present an opposing idea fairly,Counterclaims show awareness of complexity.
SA-G9-ENG-U3-L1,SA-G9-ENG-U3-L1-Q09,evidence,hard,CRITICAL.RANK_EVIDENCE,Rank two pieces of evidence and explain which is stronger.,,"Answer should choose stronger, more direct evidence and justify relevance.",Evidence evaluation.
SA-G9-ENG-U3-L1,SA-G9-ENG-U3-L1-Q10,apply,hard,CER.PARAGRAPH,Write a complete CER about this claim: “Practice leads to improvement.”,,Claim plus specific evidence and reasoning.,Must contain all CER parts.
SA-G9-ENG-U3-L1,SA-G9-ENG-U3-L1-Q11,mc,easy,VOCAB.RELEVANCE,What does relevance mean?,"[""How long evidence is"", ""How directly evidence connects to the claim"", ""How old the source is only"", ""How fancy the words sound""]",How directly evidence connects to the claim,Relevance is connection to claim.
SA-G9-ENG-U3-L1,SA-G9-ENG-U3-L1-Q12,reflection,medium,METACOG.REVISE,"After receiving feedback “your evidence is weak,” what should you check first?",,Whether the evidence directly supports the claim and whether stronger proof exists.,Metacognitive revision.
SA-G9-BIO-U2-L1,SA-G9-BIO-U2-L1-Q01,mc,easy,BIO.SYSTEMS,Which statement best describes a cell as a system?,"[""A list of unrelated parts"", ""Interacting parts that support life functions"", ""Only a nucleus"", ""A group of tissues""]",Interacting parts that support life functions,Systems involve interacting parts.
SA-G9-BIO-U2-L1,SA-G9-BIO-U2-L1-Q02,mc,easy,BIO.MEMBRANE,Which structure controls what enters and leaves the cell?,"[""ribosome"", ""cell membrane"", ""nucleus"", ""mitochondrion""]",cell membrane,The membrane regulates exchange.
SA-G9-BIO-U2-L1,SA-G9-BIO-U2-L1-Q03,short,easy,BIO.RIBOSOME,What do ribosomes help make?,,Proteins.,Ribosomes are protein-building structures.
SA-G9-BIO-U2-L1,SA-G9-BIO-U2-L1-Q04,explain,medium,SYSTEMS.CAUSE_EFFECT,How could membrane damage affect the whole cell?,,"Materials may enter/leave improperly, disrupting balance and cell survival.",Connect part failure to system.
SA-G9-BIO-U2-L1,SA-G9-BIO-U2-L1-Q05,error,medium,MISTAKE.ISOLATED_PARTS,A student says organelles matter separately but do not affect each other. Fix this.,,"Organelles interact; for example, DNA instructions guide protein building and energy is needed for cell processes.",Systems misconception.
SA-G9-BIO-U2-L1,SA-G9-BIO-U2-L1-Q06,mc,medium,BIO.STRUCTURE_FUNCTION,Which is an example of structure-function reasoning?,"[""The membrane is on a diagram."", ""The membrane’s boundary structure helps control exchange."", ""Cells are small."", ""The nucleus is purple in the picture.""]",The membrane’s boundary structure helps control exchange.,It links structure to function.
SA-G9-BIO-U2-L1,SA-G9-BIO-U2-L1-Q07,apply,medium,BIO.PREDICT,Predict what might happen if ribosomes stopped working.,,"Protein production would decrease, affecting many cell functions.",System consequence.
SA-G9-BIO-U2-L1,SA-G9-BIO-U2-L1-Q08,mc,easy,BIO.NUCLEUS,What does the nucleus store?,"[""DNA/instructions"", ""oxygen only"", ""water only"", ""finished proteins only""]",DNA/instructions,The nucleus stores genetic information.
SA-G9-BIO-U2-L1,SA-G9-BIO-U2-L1-Q09,evidence,hard,SCI.MODELS,Support the claim: “A cell model is useful but limited.”,,It shows parts/relationships but simplifies chemical complexity and scale.,Model critique required.
SA-G9-BIO-U2-L1,SA-G9-BIO-U2-L1-Q10,short,medium,BIO.INPUT_OUTPUT,Name one input and one output for a cell.,,Inputs: nutrients/oxygen/water; outputs: waste/proteins/carbon dioxide.,Accept reasonable biological examples.
SA-G9-BIO-U2-L1,SA-G9-BIO-U2-L1-Q11,discussion,medium,DISCUSSION.SYSTEMS,"Use frame: “If ___ failed, then ___ because ___.”",,,Valid organelle failure consequence.
SA-G9-BIO-U2-L1,SA-G9-BIO-U2-L1-Q12,challenge,hard,SYSTEMS.MAP,"Create a systems map connecting nucleus, ribosomes, mitochondria, and membrane.",,,"Map should include interactions, not isolated labels."
SA-G9-WH-U2-L1,SA-G9-WH-U2-L1-Q01,mc,easy,WH.GEOGRAPHY.AGRICULTURE,Which factor most directly supports agricultural surplus?,"[""predictable water and fertile soil"", ""alphabet alone"", ""coin money only"", ""modern factories""]",predictable water and fertile soil,Agriculture depends on water and soil.
SA-G9-WH-U2-L1,SA-G9-WH-U2-L1-Q02,short,easy,WH.VOCAB,Define specialization in early civilizations.,,People doing different jobs because not everyone had to farm.,Surplus supports specialization.
SA-G9-WH-U2-L1,SA-G9-WH-U2-L1-Q03,explain,medium,CRITICAL.CAUSATION,Why were rivers helpful but not sufficient by themselves?,,"Rivers provided resources, but people needed technology, labor organization, government, and culture to build complex societies.",Multi-causal reasoning.
SA-G9-WH-U2-L1,SA-G9-WH-U2-L1-Q04,mc,easy,WH.INFRASTRUCTURE,Which is infrastructure?,"[""canal"", ""oral story only"", ""family name"", ""wild grass""]",canal,Canals are built systems supporting water movement/agriculture.
SA-G9-WH-U2-L1,SA-G9-WH-U2-L1-Q05,evidence,medium,EVIDENCE.CAUSAL_CHAIN,Support: “Surplus helped create social complexity.”,,"Surplus allowed non-farmers such as builders, priests, scribes, rulers, or artisans, creating specialized roles.",Evidence chain required.
SA-G9-WH-U2-L1,SA-G9-WH-U2-L1-Q06,error,medium,MISTAKE.OVERGENERALIZATION,A student says all river valley civilizations developed the same way. Fix the error.,,"They shared patterns but differed by geography, culture, politics, technology, and historical context.",Avoid overgeneralization.
SA-G9-WH-U2-L1,SA-G9-WH-U2-L1-Q07,mc,easy,EVIDENCE.MAP,Which evidence best supports settlement near rivers?,"[""map of early cities along rivers"", ""modern tourist brochure"", ""fictional myth only"", ""list of unrelated rulers""]",map of early cities along rivers,Map evidence supports location pattern.
SA-G9-WH-U2-L1,SA-G9-WH-U2-L1-Q08,apply,hard,WH.CAUSAL_CHAIN,Build a causal chain from irrigation to government.,,Irrigation requires organized labor; organization may require leaders/rules; this supports government/state formation.,Causal reasoning.
SA-G9-WH-U2-L1,SA-G9-WH-U2-L1-Q09,short,medium,WH.VOCAB,What is state formation?,,The development of organized government and authority.,Definition may vary.
SA-G9-WH-U2-L1,SA-G9-WH-U2-L1-Q10,discussion,medium,DISCUSSION.COMPLEXITY,"Use frame: “Geography mattered because ___, but it was not enough because ___.”",,,Must include geographic and non-geographic factor.
SA-G9-WH-U2-L1,SA-G9-WH-U2-L1-Q11,mc,hard,CRITICAL.BEST_EXPLANATION,Which is the most complete explanation?,"[""Rivers caused civilization."", ""People liked rivers."", ""Rivers supported farming, surplus supported specialization, and organization helped build institutions."", ""Civilization happened randomly.""]","Rivers supported farming, surplus supported specialization, and organization helped build institutions.",It gives connected causes.
SA-G9-WH-U2-L1,SA-G9-WH-U2-L1-Q12,challenge,hard,WH.COMPARISON,Compare the Nile and Mesopotamian river environments and predict one possible difference in political development.,,,Answer should use comparative environmental reasoning and acknowledge uncertainty.
